country_node_id,country_alpha2,springrank_score,flow_out,flow_in,flow_self,flow_total,year_center,window_start_year,window_end_year_excl,window_width,window_mode,springrank_rank
47,ng,0.45337280159874155,531.0,161.0,4300.0,4992.0,2007,2006,2009,3,center_right,15
68,ru,0.4340720665867094,1019.0,471.0,7341.0,8831.0,2007,2006,2009,3,center_right,18
8,in,0.4078594367181322,3358.0,1128.0,30666.0,35152.0,2007,2006,2009,3,center_right,19
41,ua,0.40122219732290726,408.0,223.0,7338.0,7969.0,2007,2006,2009,3,center_right,20
31,pk,0.34639572042816247,680.0,257.0,3215.0,4152.0,2007,2006,2009,3,center_right,28
35,cn,0.3370279200282131,3855.0,1486.0,17055.0,22396.0,2007,2006,2009,3,center_right,30
110,bd,0.28898213986956,501.0,233.0,2216.0,2950.0,2007,2006,2009,3,center_right,42
64,co,0.2846322076486121,2051.0,1028.0,15401.0,18480.0,2007,2006,2009,3,center_right,43
117,id,0.2831223750941099,928.0,388.0,5873.0,7189.0,2007,2006,2009,3,center_right,46
63,ir,0.2705816624249895,667.0,324.0,5339.0,6330.0,2007,2006,2009,3,center_right,49
22,pe,0.24864055783845918,698.0,385.0,7336.0,8419.0,2007,2006,2009,3,center_right,54
18,eg,0.2078299914244779,834.0,446.0,3718.0,4998.0,2007,2006,2009,3,center_right,62
60,pl,0.183754006266647,856.0,525.0,5902.0,7283.0,2007,2006,2009,3,center_right,71
49,ec,0.17510654907044226,404.0,277.0,2917.0,3598.0,2007,2006,2009,3,center_right,73
27,tr,0.15401306863703876,1111.0,670.0,8619.0,10400.0,2007,2006,2009,3,center_right,81
7,br,0.12467389235151985,2443.0,1710.0,49718.0,53871.0,2007,2006,2009,3,center_right,88
87,cl,0.10192023816900986,929.0,696.0,3506.0,5131.0,2007,2006,2009,3,center_right,101
29,ar,0.07138358519459546,669.0,565.0,3677.0,4911.0,2007,2006,2009,3,center_right,113
36,mx,0.0060652505236791976,1323.0,1194.0,9529.0,12046.0,2007,2006,2009,3,center_right,123
93,pt,-0.021268166338979995,1765.0,1565.0,15309.0,18639.0,2007,2006,2009,3,center_right,130
28,de,-0.024676148657274233,4634.0,4602.0,7999.0,17235.0,2007,2006,2009,3,center_right,133
45,jp,-0.02485150251886731,1861.0,2032.0,7242.0,11135.0,2007,2006,2009,3,center_right,134
39,it,-0.02802412067695955,2644.0,2476.0,11971.5,17091.5,2007,2006,2009,3,center_right,136
13,gr,-0.03312415013115946,798.0,674.0,2697.0,4169.0,2007,2006,2009,3,center_right,139
23,fr,-0.05202336855157165,4067.0,4292.0,9569.0,17928.0,2007,2006,2009,3,center_right,144
97,kr,-0.08780647155865753,1175.0,1317.0,4527.0,7019.0,2007,2006,2009,3,center_right,151
103,be,-0.08897058710623662,996.0,1151.0,2096.0,4243.0,2007,2006,2009,3,center_right,152
