country_node_id,country_alpha2,springrank_score,flow_out,flow_in,flow_self,flow_total,year_center,window_start_year,window_end_year_excl,window_width,window_mode,springrank_rank
3,au,-0.2711626786300312,1924.0,3177.0,8732.0,13833.0,2007,2006,2009,3,center_right,194
33,au,-0.274475986575984,2140.0,3608.0,9643.0,15391.0,2008,2007,2010,3,center_right,197
8,au,-0.2966143540840867,2422.0,4140.0,10916.0,17478.0,2009,2008,2011,3,center_right,205
64,au,-0.2696651458642623,2755.0,4696.0,12276.0,19727.0,2010,2009,2012,3,center_right,203
17,au,-0.3101342183108853,3037.0,5461.0,14096.0,22594.0,2011,2010,2013,3,center_right,213
4,au,-0.3166197766951173,3439.0,6283.0,16166.0,25888.0,2012,2011,2014,3,center_right,215
16,au,-0.2959621856277677,4080.0,7362.0,18851.0,30293.0,2013,2012,2015,3,center_right,212
43,au,-0.29101390243674513,4809.0,8428.0,21835.0,35072.0,2014,2013,2016,3,center_right,212
31,au,-0.27205025511874537,5566.0,9302.0,25000.0,39868.0,2015,2014,2017,3,center_right,214
55,au,-0.2697498768352554,6138.0,9970.0,27663.0,43771.0,2016,2015,2018,3,center_right,211
10,au,-0.2508289459020881,6784.0,10610.0,30108.5,47502.5,2017,2016,2019,3,center_right,210
4,au,-0.2610443470089339,7225.0,11373.0,31989.5,50587.5,2018,2017,2020,3,center_right,210
19,au,-0.25120379676080834,7451.0,11368.0,33136.5,51955.5,2019,2018,2021,3,center_right,209
45,au,-0.20966583203643366,7546.0,10525.0,34147.5,52218.5,2020,2019,2022,3,center_right,203
8,au,-0.16642307240404877,7494.0,9549.0,34896.5,51939.5,2021,2020,2023,3,center_right,187
7,au,-0.18987136170286878,7201.0,9586.0,35030.5,51817.5,2022,2021,2024,3,center_right,188
13,au,-0.23180268724425054,6335.0,9568.5,31989.0,47892.5,2023,2022,2025,3,center_right,204
26,au,-0.29895783422376776,4770.5,8128.5,24726.0,37625.0,2024,2023,2026,3,center_right,212
78,au,-0.35390226219206794,2655.5,4868.5,13879.0,21403.0,2025,2024,2027,3,center_right,213
7,br,0.12467389235151985,2443.0,1710.0,49718.0,53871.0,2007,2006,2009,3,center_right,88
14,br,0.11689555124069416,2914.0,2057.0,57087.0,62058.0,2008,2007,2010,3,center_right,88
4,br,0.06933804234453879,3300.0,2476.0,68305.0,74081.0,2009,2008,2011,3,center_right,97
