src,dst,w
us,us,0.0
in,in,0.0
fi,fi,0.0
ru,it,93.0
fr,fr,0.0
es,gb,648.0
de,es,612.0
de,cn,575.0
gb,ch,645.5
pe,br,226.0
ch,us,852.0
es,ec,513.0
ca,us,2316.0
us,co,300.0
cn,fi,137.0
pk,cn,904.0
ar,ca,35.0
ca,be,72.0
ar,es,392.0
eg,eg,0.0
jp,id,182.0
br,es,600.0
au,jp,108.0
us,dk,295.0
tr,it,152.0
gb,cl,136.0
gb,za,160.0
za,gb,330.0
fr,de,721.0
gr,fr,59.0
ng,ru,69.0
br,ca,454.0
gb,gr,204.0
de,mx,48.0
us,kr,879.0
mx,de,101.0
eg,pl,9.0
jp,pt,17.0
de,ca,246.0
kr,bd,37.0
in,ca,500.0
nl,gb,537.0
gb,tr,275.0
se,ch,120.0
cl,br,86.0
ir,it,222.0
eg,gb,196.0
nl,pt,115.0
fr,au,114.0
es,ng,6.0
es,pe,292.0
es,pl,74.0
in,cn,215.0
ar,mx,78.0
co,it,81.0
in,es,189.0
pk,ca,103.0
co,ar,163.0
us,be,222.0
de,in,237.0
au,my,87.0
nl,ec,6.0
jp,gb,272.0
tw,pl,13.0
mx,fr,83.0
ca,dk,68.0
pk,in,10.0
at,us,192.0
gr,nl,103.0
se,at,55.0
ua,be,14.0
at,dk,58.0
tw,id,121.0
ch,dk,119.0
cn,bd,72.0
au,it,58.0
br,in,23.0
nl,se,147.0
nl,id,46.0
ch,kr,33.0
es,se,186.0
ca,kr,54.0
cn,ru,73.0
es,pt,479.0
ec,ar,110.0
jp,pl,23.0
za,pl,4.0
br,mx,100.0
za,pt,8.0
za,ng,65.0
fr,nl,244.0
my,br,1.0
eg,ng,3.0
gr,de,99.0
id,at,14.0
jp,eg,60.0
at,be,56.0
be,tw,9.0
se,gr,18.0
cl,fi,14.0
ua,us,153.0
my,bd,111.0
ng,br,64.0
jp,se,48.5
ru,jp,26.0
fr,ie,96.0
pl,br,15.0
kr,br,9.0
ch,be,125.0
ru,my,9.0
pe,fi,8.0
ec,it,32.0
tr,my,17.0
nl,pe,13.0
id,tr,26.0
mx,nl,45.0
ir,jp,17.0
ch,co,21.0
gb,at,195.0
dk,pk,7.0
za,se,19.0
ar,in,4.0
tr,jp,25.0
pk,es,60.0
tw,gb,114.0
ua,dk,13.0
fi,br,21.0
fi,ru,5.0
it,tw,7.0
za,id,4.0
bd,tw,6.0
es,ua,14.0
kr,ru,8.0
gr,ie,19.0
tw,se,17.0
se,za,10.0
it,pk,22.0
mx,ie,20.0
in,mx,36.0
ca,co,30.0
es,id,4.0
pl,fi,25.0
tw,eg,5.0
jp,pe,10.0
be,pk,9.0
br,cn,48.0
ir,my,20.0
kr,fi,31.0
pk,mx,8.0
mx,au,26.0
se,tr,18.0
co,jp,11.0
pe,ru,2.0
eg,id,11.0
cn,br,35.0
eg,se,6.0
es,eg,16.0
ng,fi,15.0
pl,ru,3.0
at,co,6.0
pt,ir,2.0
au,ar,9.0
gr,au,6.0
eg,pt,10.0
ar,cn,8.0
ie,pk,3.0
bd,pk,5.0
fi,bd,4.0
ru,ar,2.0
nl,pl,27.0
nl,eg,11.0
my,fi,12.0
id,ch,11.0
ec,jp,5.0
za,eg,4.0
ec,my,1.0
nl,ng,7.0
id,gr,1.0
ua,kr,3.0
ie,ir,3.0
tw,pe,1.0
jp,ec,4.0
be,ir,3.0
dk,ir,6.0
ng,bd,2.0
jp,ng,5.0
cl,ru,1.0
at,kr,8.0
se,cl,5.0
dk,tw,4.0
nl,ua,3.0
id,za,3.0
tr,ar,1.0
it,ir,12.0
pt,tw,2.0
ie,tw,3.0
pl,bd,1.0
id,cl,1.0
bd,ir,2.0
pt,pk,3.0
jp,ua,2.0
my,ru,1.0
pe,pe,0.0
us,ch,796.0
ie,ie,0.0
ng,gb,742.0
ch,ch,0.0
cn,gb,1705.0
my,gb,220.0
ng,ng,0.0
pl,pl,0.0
ar,ar,0.0
at,at,0.0
fi,se,117.0
pk,my,193.0
us,at,218.0
gb,us,2972.0
be,fr,327.0
cn,eg,46.0
co,ca,118.0
ie,fr,66.0
ir,ca,510.0
in,my,155.0
us,cl,182.0
co,mx,467.0
it,de,792.0
cl,gb,134.0
ec,es,649.0
de,jp,225.5
es,br,292.0
au,cn,439.0
us,tr,286.0
pk,it,267.0
in,it,332.0
br,it,269.0
it,fr,666.0
pt,de,211.0
de,it,624.0
br,jp,50.0
be,nl,379.0
ch,at,153.0
kr,id,50.0
pk,jp,54.0
cn,se,194.0
at,ch,187.0
gb,dk,338.0
in,jp,293.0
tr,es,64.0
be,de,278.0
bd,au,299.0
nl,bd,17.0
tr,cn,25.0
pe,ec,83.0
dk,de,208.0
my,eg,5.0
ec,mx,215.0
ir,cn,52.0
se,us,325.0
ch,gr,29.0
au,es,77.0
gb,be,337.0
id,us,147.0
bd,fr,33.0
nl,fi,79.0
au,ca,154.0
ca,ch,186.0
it,nl,391.0
pe,gb,71.0
za,fi,16.0
id,be,19.0
it,au,79.0
it,ie,118.0
us,gr,69.0
co,es,983.0
pt,fr,152.0
se,dk,264.0
cl,ec,60.0
us,za,135.0
pl,gb,149.0
cl,pe,78.0
es,fi,91.0
au,in,126.0
pl,ua,70.0
ng,id,8.0
fi,eg,5.0
tr,ca,113.0
ca,at,45.0
ng,pl,19.0
ch,tr,36.0
fi,pl,14.0
bd,ie,13.0
ch,za,26.0
pt,nl,126.0
ie,de,113.0
jp,ru,16.0
fi,pt,24.0
fi,gb,118.0
au,mx,11.0
pt,ie,54.0
pl,se,63.0
ng,se,14.0
dk,nl,92.0
ca,tr,40.0
dk,fr,61.0
at,za,7.0
br,ar,141.0
gb,co,59.0
ca,za,21.0
pt,au,21.0
ie,nl,75.0
eg,ru,13.0
bd,de,66.0
jp,bd,117.0
ar,it,50.0
se,be,79.0
my,id,113.0
kr,pe,5.0
kr,gb,197.0
gb,kr,157.0
cn,pt,45.0
kr,se,43.0
dk,au,61.0
my,ng,42.0
be,au,63.0
at,tr,19.0
ru,cn,132.0
jp,fi,39.0
kr,pl,25.0
ir,es,94.0
fr,ir,5.0
ec,ca,21.0
cn,pl,52.0
fr,tw,21.0
ru,es,37.0
pl,id,5.0
dk,ie,16.0
ch,cl,11.0
at,gr,13.0
fi,ua,4.0
ua,ch,49.0
my,pl,15.0
cl,pt,17.0
cn,id,32.0
ie,au,73.0
za,br,8.0
cn,ua,19.0
nl,br,64.0
ec,in,2.0
ca,cl,26.0
at,cl,7.0
id,kr,128.0
fi,id,1.0
cl,pl,7.0
de,my,21.0
my,se,9.0
se,co,8.0
