src,dst,w
us,us,0.0
in,in,0.0
us,kr,1247.0
br,es,637.0
gb,ch,700.0
fr,fr,0.0
de,in,245.0
ec,ar,189.0
kr,ru,10.0
eg,eg,0.0
nl,id,91.0
fi,fi,0.0
de,mx,90.0
es,gb,1697.0
us,be,271.0
ca,us,2549.0
nl,pe,26.0
fr,de,793.0
eg,gb,297.0
pe,br,305.0
nl,gb,808.0
br,ca,502.0
ca,be,62.0
ar,es,328.0
gb,za,257.0
us,co,524.0
au,it,67.0
jp,se,65.0
pk,cn,959.0
gb,gr,338.0
nl,se,189.0
in,ca,400.0
au,my,179.0
es,ec,698.0
gb,at,244.0
tw,gb,112.0
de,es,658.0
es,pt,760.0
nl,pt,134.0
de,cn,579.0
ch,us,847.0
in,es,94.0
pt,tw,4.0
es,se,267.0
fr,au,207.0
de,ca,275.0
in,cn,314.0
us,dk,341.0
ch,dk,94.0
jp,id,190.0
ru,it,56.0
es,pe,470.0
ir,jp,35.0
gb,cl,153.0
jp,gb,315.0
tr,it,126.0
ar,mx,89.0
se,gr,19.0
gb,tr,445.0
es,pl,115.0
my,bd,101.0
gr,de,160.0
ch,be,95.0
co,ar,384.0
za,se,45.0
ua,us,118.0
au,ar,10.0
nl,pl,55.0
ir,my,48.0
ca,dk,61.0
au,jp,148.0
jp,pl,34.0
pl,fi,29.0
co,it,101.0
fr,nl,224.0
za,gb,295.0
fr,ie,93.0
at,us,264.0
mx,nl,63.0
gr,au,23.0
fi,ru,35.0
cn,fi,102.0
jp,eg,99.0
tw,id,101.0
se,ch,103.0
mx,au,39.0
gr,ie,30.0
kr,bd,57.0
cn,ru,85.0
ec,it,29.0
cl,br,124.0
at,dk,44.0
in,mx,32.0
br,mx,136.0
za,ng,59.0
mx,de,142.0
se,at,52.0
ca,kr,70.0
dk,ir,18.0
gr,nl,121.0
it,tw,11.0
nl,ec,23.0
mx,fr,137.0
pk,ca,52.0
ca,co,75.0
it,ir,35.0
kr,fi,23.0
ru,my,17.0
tr,jp,36.0
ng,ru,11.0
jp,pt,19.0
ir,it,150.0
eg,id,22.0
eg,se,24.0
cn,br,39.0
cn,bd,40.0
at,be,49.0
gr,fr,128.0
be,tw,11.0
eg,pt,16.0
tw,se,16.0
ar,ca,23.0
es,eg,33.0
br,cn,51.0
za,pt,13.0
kr,br,20.0
pt,ir,12.0
ie,pk,11.0
co,jp,10.0
cl,fi,9.0
jp,ng,5.0
se,cl,6.0
ru,jp,23.0
br,in,29.0
it,pk,35.0
ua,be,12.0
es,ua,4.0
ua,kr,6.0
nl,ng,13.0
ch,kr,27.0
id,ch,9.0
fi,br,18.0
ng,br,12.0
ch,co,24.0
pl,ru,16.0
jp,pe,6.0
nl,ua,6.0
pk,es,13.0
ie,ir,4.0
nl,eg,13.0
eg,pl,3.0
se,za,23.0
jp,ua,5.0
ng,fi,11.0
se,tr,31.0
pl,br,16.0
pe,fi,8.0
my,ru,3.0
id,tr,13.0
dk,pk,9.0
ie,tw,1.0
at,co,11.0
jp,ec,4.0
es,ng,6.0
be,pk,5.0
id,at,13.0
be,ir,10.0
za,pe,1.0
tr,my,9.0
pe,ru,6.0
bd,ir,3.0
mx,ie,6.0
ng,bd,6.0
bd,tw,5.0
es,id,9.0
eg,ng,5.0
cl,ru,3.0
pl,bd,1.0
za,pl,4.0
ar,in,1.0
tw,pl,7.0
my,fi,8.0
ec,jp,3.0
tw,pt,5.0
ua,dk,5.0
za,id,2.0
pt,pk,1.0
id,za,2.0
za,eg,3.0
ru,ar,3.0
dk,tw,4.0
pk,mx,3.0
ua,co,1.0
tr,ar,2.0
my,br,2.0
pk,in,10.0
bd,pk,2.0
at,kr,3.0
eg,ec,4.0
fi,bd,5.0
tw,ng,3.0
tw,eg,1.0
eg,pe,1.0
ar,cn,1.0
eg,ua,1.0
tw,ec,2.0
id,kr,142.0
pe,pe,0.0
ar,ar,0.0
at,at,0.0
ie,ie,0.0
gb,us,3299.0
pl,pl,0.0
ec,mx,145.0
ng,ng,0.0
es,br,482.0
co,es,1709.0
de,ar,43.0
cn,gb,1691.0
au,cn,542.0
es,ru,28.0
ec,es,1179.0
ir,es,78.0
ch,ch,0.0
us,za,224.0
us,ch,869.0
be,de,256.0
ie,de,102.0
bd,au,316.0
my,gb,387.0
us,at,265.0
eg,ru,45.0
se,dk,223.0
pk,my,233.0
bd,de,87.0
se,us,426.0
jp,fi,27.0
tr,ca,68.0
dk,de,207.0
in,jp,287.0
br,jp,63.0
de,it,464.0
kr,eg,10.0
co,mx,1007.0
ie,nl,54.0
us,tr,785.0
it,de,819.0
it,nl,420.0
in,my,199.0
br,it,301.0
ir,ca,344.0
ie,fr,63.0
it,fr,833.0
pe,pt,18.0
ie,au,75.0
ng,gb,622.0
gb,co,154.0
cn,pt,72.0
kr,gb,213.0
ca,tr,54.0
pk,jp,28.0
pt,nl,173.0
fi,gb,174.0
ca,gr,7.0
gb,be,343.0
it,au,131.0
br,ar,251.0
cl,gb,218.0
my,id,151.0
be,fr,349.0
ru,cn,85.0
pt,au,47.0
cn,se,285.0
cl,pe,142.0
ng,eg,6.0
ar,it,43.0
au,ca,209.0
pe,gb,82.0
my,ng,101.0
dk,nl,82.0
my,se,8.0
in,it,171.0
pl,pt,47.0
tr,es,79.0
id,us,160.0
pt,fr,245.0
se,be,76.0
us,cl,331.0
cn,ng,23.0
es,fi,100.0
cl,ec,90.0
be,au,94.0
cl,pt,17.0
pl,id,5.0
de,jp,232.0
id,be,16.0
co,ca,116.0
au,es,77.0
pl,gb,249.0
gb,dk,326.0
ir,cn,47.0
be,nl,336.0
ng,pt,13.0
it,ie,150.0
pe,ec,90.0
ca,ch,167.0
nl,ru,30.0
pt,de,249.0
kr,id,59.0
au,in,103.0
ch,gr,25.0
at,gr,16.0
ch,tr,22.0
jp,br,46.0
gb,kr,158.0
nl,fi,56.0
jp,bd,120.0
pl,eg,3.0
fi,se,136.0
ch,za,24.0
ch,at,123.0
pt,ie,39.0
ru,ca,36.0
dk,fr,78.0
pl,ua,64.0
fi,pe,5.0
pk,it,53.0
bd,ie,8.0
kr,pt,5.0
cl,se,12.0
pl,se,42.0
ru,es,53.0
be,ie,29.0
fr,tw,28.0
fr,pk,50.0
us,gr,84.0
dk,au,84.0
se,kr,13.0
ua,ch,28.0
ec,ca,34.0
nl,br,125.0
cn,pl,39.0
fi,pl,16.0
za,br,14.0
ng,id,3.0
at,tr,38.0
jp,ru,18.0
de,my,24.0
at,ch,170.0
ua,tr,18.0
co,cn,12.0
fr,ir,23.0
cn,eg,34.0
ua,at,22.0
