year_center,window_start_year,window_end_year_excl,window_width,window_mode,countries_n,weight_sum,score_mean_weighted,score_std_weighted
1970,1969,1972,3,center_right,110,9306.0,-0.2493640857814869,0.2736740852601697
1971,1970,1973,3,center_right,119,11140.5,-0.1425093380614081,0.22608219822654887
1972,1971,1974,3,center_right,123,12993.5,-0.11377107659469803,0.23199348046775717
1973,1972,1975,3,center_right,129,14930.5,-0.1427691168992356,0.21043969990414166
1974,1973,1976,3,center_right,133,17218.0,-0.1357820701411406,0.21344176264089165
1975,1974,1977,3,center_right,134,19651.5,-0.20610804283554593,0.21760114995439434
1976,1975,1978,3,center_right,139,22284.5,-0.2007368110994637,0.23241278149691838
1977,1976,1979,3,center_right,146,25190.0,-0.21480637248781864,0.22828578460179996
1978,1977,1980,3,center_right,148,28584.5,-0.053473385390124605,0.22232164014446307
1979,1978,1981,3,center_right,155,32538.5,-0.1054760229457661,0.20832581476356343
1980,1979,1982,3,center_right,166,36390.5,-0.004655858278907283,0.21352546189533383
1981,1980,1983,3,center_right,172,40750.5,-0.0632821508291129,0.22073938066372895
1982,1981,1984,3,center_right,184,45466.0,-0.07578025294489883,0.2338916978405554
1983,1982,1985,3,center_right,182,51082.0,-0.07708300364779422,0.22402800026617772
1984,1983,1986,3,center_right,182,57462.0,-0.06797265597008238,0.2183878499427304
1985,1984,1987,3,center_right,181,64723.0,-0.06184188531025073,0.21033052421825005
1986,1985,1988,3,center_right,187,72238.0,-0.039282424711646405,0.2193413095237832
1987,1986,1989,3,center_right,188,80065.0,-0.050783435720204224,0.22982576664184964
1988,1987,1990,3,center_right,195,88983.5,-0.07116219333745072,0.23194699618757014
1989,1988,1991,3,center_right,201,99655.0,-0.07537823305189272,0.22316017092944737
1990,1989,1992,3,center_right,209,110798.5,-0.058416919015064184,0.2388787024106159
1991,1990,1993,3,center_right,204,122730.5,-0.07812104581014208,0.2515130244221
1992,1991,1994,3,center_right,206,134712.5,-0.10141164726246032,0.24913102675409898
1993,1992,1995,3,center_right,210,148575.0,-0.06606000466039288,0.24495795201541956
1994,1993,1996,3,center_right,215,163232.0,-0.07209721859488184,0.23819377665309854
1995,1994,1997,3,center_right,217,179752.5,-0.08900762553244064,0.23079200178496312
1996,1995,1998,3,center_right,221,197429.0,-0.08108903069087887,0.21543538019414135
1997,1996,1999,3,center_right,223,218252.5,-0.05720885427789331,0.20568661085497048
1998,1997,2000,3,center_right,224,240782.0,-0.02793804021144977,0.2053591094015875
1999,1998,2001,3,center_right,222,270250.5,-0.03567033779906107,0.21435796179418584
2000,1999,2002,3,center_right,226,299052.5,0.015151405999480812,0.22397000471890885
2001,2000,2003,3,center_right,229,332847.0,-0.005987514974970603,0.22850919509729833
2002,2001,2004,3,center_right,231,363565.5,-0.010289954640027627,0.23105745962863228
2003,2002,2005,3,center_right,232,401887.0,-0.035654727226078625,0.22282336231391117
2004,2003,2006,3,center_right,230,445633.0,-0.01487877397375179,0.21073758528682912
2005,2004,2007,3,center_right,233,500482.0,-0.016370650174667458,0.19852319261705878
2006,2005,2008,3,center_right,234,560322.0,0.05038924429097168,0.20281921722466112
2007,2006,2009,3,center_right,238,632664.5,0.03865791428103005,0.21230150743111445
2008,2007,2010,3,center_right,236,711397.0,0.04006073557411303,0.21536147372189124
2009,2008,2011,3,center_right,241,808380.5,0.022211167407307067,0.21157537466246412
2010,2009,2012,3,center_right,239,911555.5,0.03970069109014871,0.20918256974098537
2011,2010,2013,3,center_right,237,1.03469e6,0.019681884270833016,0.2039507412636483
2012,2011,2014,3,center_right,239,1.1692965e6,0.019401814486715022,0.19723152691969117
2013,2012,2015,3,center_right,241,1.3306555e6,0.03650740104654041,0.19038660553724476
2014,2013,2016,3,center_right,242,1.5074685e6,0.03072011769544204,0.19223906532112417
2015,2014,2017,3,center_right,244,1.684338e6,0.021365600822149687,0.1938183301240249
2016,2015,2018,3,center_right,245,1.848294e6,0.00010361511517022587,0.1922269443532266
2017,2016,2019,3,center_right,246,1.9971915e6,-0.005630516457790881,0.18714624955083478
2018,2017,2020,3,center_right,248,2.140198e6,-0.015354197181577963,0.18750796691721153
2019,2018,2021,3,center_right,248,2.21422e6,-0.023593085415358418,0.18825705810155866
2020,2019,2022,3,center_right,248,2.2692205e6,-0.029310528527395633,0.19022475447200146
2021,2020,2023,3,center_right,247,2.2957015e6,-0.031079215034519613,0.20530063277860738
2022,2021,2024,3,center_right,246,2.2800645e6,-0.03916659358937821,0.22556814544124038
2023,2022,2025,3,center_right,244,2.0855615e6,-0.032768438203949944,0.2420201548893354
2024,2023,2026,3,center_right,244,1.5708955e6,-0.057527194469043606,0.24523789129098886
2025,2024,2027,3,center_right,237,879182.0,-0.09630585846980237,0.24355325067578748
2026,2025,2028,3,center_right,229,316307.5,-0.11202880573288025,0.25033187263207907
2027,2026,2029,3,center_right,195,50459.0,-0.18898437114139796,0.3416029598871394
2028,2027,2030,3,center_right,173,18721.0,-0.12488172669907364,0.33875489947126813
2029,2028,2031,3,center_right,158,7256.0,-0.010336375813466296,0.32074443830031185
2030,2029,2032,3,center_right,119,2416.5,0.08558346116653766,0.3428578564735525
